Date,Hyperparameters,Recall@10,Precision@10,MRR@10,NDCG@10,Recall@100,Precision@100,MRR@100,NDCG@100,MAP
0.3862,0.195,0.6218,0.4228,0.6585,0.0439,0.6259,0.4832,0.3106
2026-04-06 20:32:06,"k1=0.5, b=0.25",0.3291,0.168,0.5571,0.3683,0.6239,0.042,0.5666,0.4414,0.2754
2026-04-06 20:34:41,"k1=0.5, b=0.5",0.3589,0.18,0.6015,0.3952,0.6444,0.043,0.6074,0.4629,0.2908
2026-04-06 20:37:14,"k1=0.5, b=0.75",0.3632,0.185,0.6014,0.4037,0.6495,0.0437,0.6078,0.4719,0.3003
2026-04-06 20:39:49,"k1=0.5, b=1.0",0.3711,0.189,0.6071,0.4132,0.6583,0.0446,0.6118,0.4816,0.3108
2026-04-06 20:42:07,"k1=1.0, b=0.25",0.318,0.167,0.5502,0.3623,0.6093,0.0412,0.5604,0.4322,0.2686
2026-04-06 20:44:22,"k1=1.0, b=0.5",0.346,0.181,0.5973,0.394,0.6307,0.0427,0.6067,0.4619,0.2932
2026-04-06 20:46:40,"k1=1.0, b=0.75",0.3788,0.192,0.6231,0.4214,0.6601,0.0441,0.6277,0.4859,0.3141
2026-04-06 20:48:56,"k1=1.0, b=1.0",0.3976,0.205,0.6228,0.4363,0.677,0.0452,0.6258,0.4956,0.3222
2026-04-06 20:51:14,"k1=1.2, b=0.25",0.3205,0.168,0.5541,0.3639,0.598,0.0402,0.5636,0.4286,0.2673
2026-04-06 20:53:34,"k1=1.2, b=0.5",0.3478,0.18,0.5932,0.3914,0.6293,0.0425,0.6014,0.4583,0.2898
2026-04-06 20:55:54,"k1=1.2, b=0.75",0.3751,0.192,0.621,0.42,0.6619,0.044,0.6263,0.4855,0.3136
2026-04-06 20:58:19,"k1=1.2, b=1.0",0.3934,0.205,0.6259,0.4354,0.6775,0.0452,0.6297,0.4964,0.3229
2026-04-06 21:00:39,"k1=1.5, b=0.25",0.3108,0.164,0.5473,0.3568,0.5889,0.0396,0.5568,0.4214,0.2621
2026-04-06 21:02:58,"k1=1.5, b=0.5",0.3475,0.179,0.5934,0.3908,0.6222,0.042,0.6012,0.4553,0.2883
2026-04-06 21:05:15,"k1=1.5, b=0.75",0.3862,0.195,0.6218,0.4228,0.6585,0.0439,0.6259,0.4832,0.3106
2026-04-06 21:07:32,"k1=1.5, b=1.0",0.3889,0.204,0.6326,0.4343,0.6865,0.0455,0.6371,0.4989,0.3223
2026-04-06 21:09:48,"k1=1.8, b=0.25",0.3095,0.163,0.548,0.3553,0.5666,0.0381,0.5573,0.413,0.2587
2026-04-06 21:12:05,"k1=1.8, b=0.5",0.341,0.175,0.5913,0.3862,0.6166,0.0415,0.5991,0.451,0.2854
2026-04-06 21:14:22,"k1=1.8, b=0.75",0.377,0.191,0.6202,0.4195,0.6592,0.0438,0.626,0.484,0.3118
2026-04-06 21:16:39,"k1=1.8, b=1.0",0.3899,0.203,0.631,0.433,0.6835,0.0453,0.6362,0.4966,0.3212
2026-04-06 21:18:56,"k1=2.0, b=0.25",0.2993,0.159,0.5399,0.3485,0.5496,0.037,0.5494,0.4045,0.254
2026-04-06 21:21:14,"k1=2.0, b=0.5",0.342,0.175,0.5879,0.3847,0.6123,0.0411,0.5953,0.447,0.2823
2026-04-06 21:23:31,"k1=2.0, b=0.75",0.3774,0.191,0.6199,0.4184,0.6607,0.0437,0.6245,0.4824,0.3095
2026-04-06 21:25:47,"k1=2.0, b=1.0",0.3889,0.203,0.6302,0.4322,0.6777,0.045,0.6353,0.4947,0.3203
2026-04-10 11:23:48,"k1=1.5, b=0.75",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10 21:51:03,"k1=1.5, b=0.75",0.3862,0.195,0.6218,0.4228,0.6585,0.0439,0.6259,0.4832,0.3106
