date,hyperparameters,Recall@10,Precision@10,MRR@10,NDCG@10,Recall@100,Precision@100,MRR@100,NDCG@100,MAP
2026-04-10 21:32:56,model=allenai/specter2_base,0.4015,0.21,0.5664,0.4193,0.7148,0.0528,0.574,0.494,0.319
2026-04-10 21:43:21,model=BAAI/bge-base-en-v1.5,0.5039,0.26,0.7193,0.5391,0.811,0.0593,0.7223,0.6145,0.4343
2026-04-10 21:56:14,model=BAAI/bge-base-en-v1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10 22:06:46,model=intfloat/e5-base-v2,0.5033,0.261,0.7056,0.5385,0.8023,0.0571,0.7091,0.6017,0.4257
2026-04-11 21:49:20,model=allenai/specter2,0.3854,0.207,0.5687,0.4103,0.692,0.0508,0.5772,0.4824,0.3088
2026-04-11 22:48:58,model=BAAI/bge-large-en-v1.5,0.5184,0.267,0.7125,0.5524,0.7986,0.0587,0.7145,0.6167,0.4444
2026-04-11 23:29:48,model=BAAI/bge-large-en-v1.5,0.5212,0.27,0.725,0.558,0.7989,0.0591,0.7264,0.621,0.4498
2026-04-11 23:40:37,model=intfloat/e5-base-v2,0.4719,0.246,0.7145,0.5249,0.7784,0.0548,0.7198,0.593,0.4224
2026-04-13 14:57:29,model=data/finetuned_models/BAAI_bge-small-en-v1.5,0.553,0.28,0.7268,0.5761,0.8459,0.0625,0.7277,0.6475,0.4729
2026-04-13 19:33:20,model=malteos/scincl,0.4336,0.239,0.6238,0.4722,0.7753,0.0569,0.6307,0.5539,0.3765
2026-04-13 22:09:22,model=BAAI/bge-small-en-v1.5,0.5002,0.258,0.6965,0.5291,0.8063,0.059,0.697,0.6019,0.4199
2026-04-13 22:16:57,model=data/finetuned_models/BAAI_bge-small-en-v1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13 22:20:09,model=data/finetuned_models/BAAI_bge-small-en-v1.5,0.553,0.28,0.7268,0.5761,0.8459,0.0625,0.7277,0.6475,0.4729
2026-04-13 22:20:09,model=data/finetuned_models/BAAI_bge-small-en-v1.5,0.553,0.28,0.7268,0.5761,0.8459,0.0625,0.7277,0.6475,0.4729
